model_type,comparison,prompt_idx,seed,image1_path,image2_path,fid_score
base,original_with_neg_vs_baseline,0,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0000_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0000_42_neg.png,17.8984375
base,original_with_neg_vs_baseline,0,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0000_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0000_1337_neg.png,13.558384895324707
base,original_with_neg_vs_baseline,0,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0000_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0000_2025_neg.png,14.58759593963623
base,original_with_neg_vs_baseline,1,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0001_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0001_42_neg.png,18.4864444732666
base,original_with_neg_vs_baseline,1,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0001_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0001_1337_neg.png,13.718329429626465
base,original_with_neg_vs_baseline,1,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0001_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0001_2025_neg.png,16.74330711364746
base,original_with_neg_vs_baseline,2,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0002_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0002_42_neg.png,11.929753303527832
base,original_with_neg_vs_baseline,2,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0002_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0002_1337_neg.png,15.934418678283691
base,original_with_neg_vs_baseline,2,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0002_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0002_2025_neg.png,15.881404876708984
base,original_with_neg_vs_baseline,3,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0003_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0003_42_neg.png,17.33397674560547
base,original_with_neg_vs_baseline,3,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0003_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0003_1337_neg.png,19.013338088989258
base,original_with_neg_vs_baseline,3,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0003_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0003_2025_neg.png,20.13773536682129
base,original_with_neg_vs_baseline,4,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0004_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0004_42_neg.png,19.650115966796875
base,original_with_neg_vs_baseline,4,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0004_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0004_1337_neg.png,19.015615463256836
