model_type,comparison,prompt_idx,seed,image1_path,image2_path,kid_score
base,original_with_neg_vs_baseline,0,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0000_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0000_42_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,0,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0000_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0000_1337_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,0,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0000_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0000_2025_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,1,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0001_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0001_42_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,1,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0001_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0001_1337_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,1,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0001_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0001_2025_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,2,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0002_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0002_42_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,2,1337,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0002_1337_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0002_1337_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,2,2025,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0002_2025_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0002_2025_neg.png,0.007214550971984863
base,original_with_neg_vs_baseline,3,42,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/baseline/0003_42_noneg.png,/Users/andrewrevell/Projects/Uni/nag-time/results-original-models/base/with_negative/0003_42_neg.png,0.007214550971984863
